tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,height_range,diameter,curb,date_planted,latitude,longitude
257877,2483,BONNYVALE AV,CRATAEGUS,MORDENSIS,SNOWBIRD,SNOWBIRD HAWTHORN,N,N,10,2400,BONNYVALE AV,VICTORIA-FRASERVIEW,ODD,1,10' - 20',3.0,Y,2019-03-28,49.21714,-123.057283
105110,570,W 7TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,N,N,4,500,W 7TH AV,FAIRVIEW,EVEN,4,40' - 50',9.0,Y,2006-11-23,49.264933,-123.116388
108444,1610,ROBSON ST,ACER,RUBRUM,RED SUNSET,RED SUNSET RED MAPLE,N,N,C,1600,ROBSON ST,WEST END,EVEN,3,30' - 40',11.0,Y,,49.289672,-123.132776
173581,189,DRAKE ST,FRAXINUS,SPECIES,,ASH SPECIES,N,N,G,100,DRAKE ST,DOWNTOWN,ODD,3,30' - 40',8.5,Y,1997-06-13,49.273108,-123.123042
214186,4065,VICTORIA DRIVE,HIBISCUS,SYRIACUS,,ROSE OF SHARON,N,N,8,4000,ALICE ST,KENSINGTON-CEDAR COTTAGE,ODD,1,10' - 20',4.0,Y,2006-03-20,49.248864,-123.065732
118834,4108,WELWYN ST,ACER,PLATANOIDES,,NORWAY MAPLE,N,N,10,4100,WELWYN ST,KENSINGTON-CEDAR COTTAGE,EVEN,4,40' - 50',13.5,Y,,49.248419,-123.069813
276413,2125,VICTORIA DRIVE,QUERCUS,ROBUR,,ENGLISH OAK,N,N,P,2100,VICTORIA DRIVE,GRANDVIEW-WOODLAND,PARK,4,40' - 50',17.0,N,,49.266874,-123.066596
109843,5872,TODERICK ST,QUERCUS,PALUSTRIS,,PIN OAK,N,N,N,3500,E 43RD AV,KILLARNEY,EVEN,1,10' - 20',4.0,Y,,49.23075,-123.028809
66359,5220,CHAMBERS ST,LIRIODENDRON,TULIPIFERA,,TULIPTREE,N,N,9,5200,CHAMBERS ST,RENFREW-COLLINGWOOD,EVEN,4,40' - 50',20.0,Y,,49.237153,-123.052925
122907,1593,W 59TH AV,PRUNUS,CERASIFERA,ATROPURPUREUM,PISSARD PLUM,N,N,6,1500,W 59TH AV,MARPOLE,ODD,2,20' - 30',11.0,Y,,49.217719,-123.143689
243621,3396,QUEENS AV,STEWARTIA,PSEUDOCAMELLIA,,JAPANESE STEWARTIA,N,N,,5000,MCGEER ST,RENFREW-COLLINGWOOD,ODD,1,10' - 20',3.0,Y,2013-02-04,49.239908,-123.032997
289735,50,E 30TH AV,CHAMAECYPARIS,LAWSONIANA,,LAWSON CYPRESS/PORT ORFORD CED,N,N,P,0,E 30th Av,RILEY PARK,PARK,5,50' - 60',16.0,N,,49.242949,-123.103375
36285,1208,W 38TH AV,ACER,PSEUDOPLATANUS,,SYCAMORE MAPLE,N,N,10,1208,SELKIRK ST,SHAUGHNESSY,ODD,3,30' - 40',11.0,Y,,49.236761,-123.132508
180094,2628,YEW ST,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,N,N,10,2600,YEW ST,KITSILANO,EVEN,2,20' - 30',11.0,Y,1999-05-29,49.262575,-123.155258
244239,3990,PINE CRESCENT,CERCIDIPHYLLUM,JAPONICUM,,KATSURA TREE,N,N,8,3900,PINE CRESCENT,SHAUGHNESSY,EVEN,1,10' - 20',3.0,Y,2013-01-17,49.250358,-123.147369
14403,16,W 14TH AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,7,0,W 14TH AV,MOUNT PLEASANT,EVEN,2,20' - 30',12.0,Y,,49.258422,-123.105484
80265,2605,KAMLOOPS ST,ACER,PLATANOIDES,EMERALD QUEEN,EMERALD QUEEN NORWAY MAPLE,N,N,N,2600,KAMLOOPS ST,RENFREW-COLLINGWOOD,ODD,1,10' - 20',3.0,Y,2008-01-16,49.260664,-123.054818
11796,1873,W 12TH AV,ACER,PLATANOIDES,SCHWEDLERI,SCHWEDLER NORWAY MAPLE,N,N,10,1800,W 12TH AV,KITSILANO,ODD,3,30' - 40',11.0,Y,,49.260981,-123.147484
104915,3489,PINE CRESCENT,TILIA,AMERICANA,,BASSWOOD,N,N,8,3400,PINE CRESCENT,SHAUGHNESSY,ODD,5,50' - 60',26.0,Y,,49.254922,-123.145725
46170,1328,W 51ST AV,PRUNUS,CERASIFERA,ATROPURPUREUM,PISSARD PLUM,N,N,N,1300,W 51ST AV,OAKRIDGE,EVEN,2,20' - 30',14.25,Y,,49.224856,-123.135733
66999,4975,CHESTER ST,PRUNUS,SERRULATA,,JAPANESE FLOWERING CHERRY,N,N,4,4900,CHESTER ST,KENSINGTON-CEDAR COTTAGE,ODD,4,40' - 50',19.0,Y,,49.239489,-123.089222
